numero;Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Z_CostContact;Z_Revenue;Response;user_id
1012;1980;2nCycle;Single;61823.0;1;0;18-02-13;26;523;7;134;37;14;169;4;8;2;10;7;0;0;0;0;0;0;3;11;0;58
6518;1980;2nCycle;Single;67680.0;1;1;11-06-13;8;546;0;48;0;6;6;1;7;3;8;5;0;0;0;0;0;0;3;11;0;59
4137;1950;2nCycle;Widow;70666.0;2;0;06-12-13;29;398;40;367;119;122;30;1;7;4;4;4;0;0;0;0;0;0;3;11;0;60
8082;1950;2nCycle;Together;25721.0;2;2;21-05-13;75;1;3;6;3;6;15;1;1;1;2;7;0;0;0;0;0;0;3;11;1;61
1386;1990;Master;Married;32474.0;1;0;11-05-14;0;10;0;1;0;0;0;1;1;0;2;7;0;0;0;0;0;0;3;11;0;62
9369;1950;Graduation;Widow;88194.0;1;2;19-03-14;19;688;14;309;201;24;38;1;11;10;10;5;1;0;0;1;0;0;3;11;1;63
4477;1980;2nCycle;Widow;69096.0;2;2;27-09-13;4;247;49;159;7;82;109;1;5;2;10;4;0;0;0;0;0;0;3;11;0;64
1357;1950;Master;Together;74854.0;2;2;08-04-13;90;856;59;487;58;29;73;7;2;5;5;5;0;0;0;0;0;0;3;11;0;65
1402;1980;2nCycle;Single;66991.0;0;0;11-09-12;1;496;36;460;189;60;12;3;4;8;6;3;0;0;0;0;0;0;3;11;0;66
6312;1980;PhD;Married;65031.0;2;0;17-03-13;29;258;107;291;84;37;86;4;10;3;13;7;0;0;0;0;0;0;3;11;0;67
8132;1950;Master;Single;60631.0;1;1;05-04-13;88;565;6;65;0;6;19;5;9;2;8;7;0;1;0;0;0;0;3;11;0;68
1050;1990;2nCycle;Widow;28332.0;0;0;30-04-14;58;14;10;13;4;15;9;1;2;1;4;2;0;0;0;0;0;0;3;11;0;69
5846;1990;Graduation;Together;40246.0;1;1;19-12-12;68;2;1;6;2;1;1;1;1;0;2;6;0;0;0;0;0;0;3;11;0;70
1859;1940;2nCycle;Divorced;75251.0;0;2;27-08-12;34;721;111;925;97;18;18;1;7;6;5;5;0;0;0;0;0;0;3;11;1;71
7503;1950;2nCycle;Widow;75825.0;0;0;12-10-12;40;1032;105;779;137;105;51;0;5;8;9;4;1;0;0;0;0;0;3;11;1;72
10401;1980;Basic;Divorced;26326.0;1;0;04-09-13;12;1;0;5;0;3;9;1;0;0;3;3;0;0;0;0;0;1;3;11;0;73
1618;1990;Graduation;Widow;56046.0;1;0;02-01-13;9;577;0;64;0;0;51;2;10;1;8;8;1;0;0;0;0;0;3;11;1;74
3332;1960;Master;Married;29760.0;2;0;29-08-12;87;64;4;68;7;5;17;4;3;1;4;8;0;0;0;0;0;0;3;11;0;75
2261;1950;Master;Married;26304.0;2;2;23-06-13;5;4;1;5;2;0;4;1;1;0;2;7;0;0;0;0;0;0;3;11;0;76
5346;1940;Basic;Divorced;23559.0;1;1;03-07-13;87;25;5;19;7;0;23;3;3;0;3;7;0;0;0;0;0;0;3;11;0;77
4119;1960;2nCycle;Single;38620.0;1;1;11-05-13;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;3;11;0;78
535;1940;Master;Single;81361.0;2;2;25-02-14;18;163;23;424;27;65;76;1;3;10;13;1;0;0;0;0;0;0;3;11;0;79
5268;1940;PhD;Married;29440.0;2;0;11-08-13;95;17;8;14;10;4;3;2;1;0;4;7;0;0;0;0;0;0;3;11;0;80
273;1960;Graduation;Single;36138.0;0;0;16-07-13;48;130;0;16;0;0;5;5;3;1;4;7;0;1;0;0;0;0;3;11;0;81
4452;1940;Master;Divorced;50388.0;0;2;28-05-14;3;292;6;37;0;3;34;4;6;1;6;7;0;1;0;1;0;0;3;11;1;82
8504;1950;Master;Single;79593.0;1;2;12-05-14;70;350;60;568;110;133;145;1;5;6;7;2;0;0;1;0;0;0;3;11;0;83
771;1980;Basic;Married;54178.0;0;0;21-01-14;79;135;9;39;4;0;7;1;2;2;5;2;0;0;0;0;0;0;3;11;0;84
11178;1980;PhD;Divorced;42394.0;1;1;23-03-14;69;15;2;10;0;1;4;1;1;0;3;7;0;0;0;0;0;0;3;11;0;85
2230;1990;PhD;Single;23626.0;1;1;24-05-14;84;27;2;14;0;0;0;3;3;1;3;5;0;0;0;0;0;0;3;11;0;86
7516;1980;2nCycle;Together;30096.0;2;2;22-05-14;30;5;3;11;12;5;9;1;2;0;3;6;0;0;0;0;0;0;3;11;0;87
7247;1970;Graduation;Together;47916.0;2;1;22-11-12;72;505;0;26;0;0;75;5;7;4;6;6;0;1;0;0;0;0;3;11;0;88
11100;1970;Basic;Widow;51813.0;0;1;11-04-13;37;51;2;7;0;1;2;2;2;0;3;7;0;0;0;0;0;0;3;11;0;89
4646;1960;Master;Divorced;78497.0;1;2;01-12-13;44;207;26;447;75;0;223;1;5;7;12;2;0;0;0;1;0;0;3;11;0;90
3037;1960;2nCycle;Married;50150.0;0;2;20-06-13;32;135;46;92;65;61;11;2;5;2;7;5;0;0;0;0;0;0;3;11;0;91
1473;1980;Basic;Together;47823.0;0;2;23-07-13;0;53;1;5;2;1;10;2;2;0;3;8;0;0;0;0;0;0;3;11;0;92
1016;1990;PhD;Single;34554.0;2;1;30-03-14;43;41;1;6;2;0;5;2;2;0;3;6;0;0;0;0;0;0;3;11;0;93
4518;1960;Graduation;Divorced;85693.0;1;0;20-04-13;59;386;172;183;185;132;111;2;9;5;11;5;0;0;0;0;0;0;3;11;0;94
9370;1940;Basic;Divorced;65846.0;2;1;17-05-13;68;562;81;276;80;40;81;1;6;3;6;4;0;0;0;0;0;0;3;11;0;95
8908;1960;Master;Widow;87195.0;2;0;08-05-14;35;217;76;690;50;26;38;1;3;11;5;1;0;0;0;0;0;0;3;11;1;96
8373;1950;Graduation;Together;24594.0;1;2;10-12-13;94;1;3;6;10;0;9;1;1;0;3;5;0;0;0;0;0;0;3;11;0;97
7533;1940;Master;Widow;49096.0;1;0;24-09-13;15;144;1;32;2;1;7;4;4;1;4;7;0;0;0;0;0;0;3;11;0;98
2683;1960;PhD;Together;52413.0;1;1;02-02-13;56;295;106;271;75;98;65;4;6;4;12;6;0;0;0;0;0;0;3;11;0;99
3629;1950;Basic;Together;38557.0;2;1;19-12-12;17;76;3;31;4;4;27;2;3;1;3;7;0;0;0;0;0;0;3;11;0;100
10991;1940;2nCycle;Divorced;89058.0;1;2;07-12-12;18;454;194;106;31;22;43;1;5;4;4;2;0;0;0;0;0;0;3;11;0;101
5077;1960;Graduation;Single;77298.0;1;0;02-11-13;46;425;115;292;23;35;79;1;6;6;11;3;0;0;0;0;0;0;3;11;0;102
7431;1960;Graduation;Married;68126.0;1;0;10-11-12;40;1332;17;311;23;51;86;1;7;4;5;9;0;1;0;0;0;0;3;11;1;103
3267;1950;Master;Married;57288.0;0;1;25-06-14;27;527;0;21;0;0;60;3;8;1;8;6;0;1;0;0;0;0;3;11;0;104
999;1970;PhD;Divorced;86037.0;2;0;02-01-13;95;490;44;125;29;20;22;1;6;7;11;3;0;1;1;0;0;0;3;11;1;105
9215;1940;Graduation;Widow;43974.0;0;1;12-12-12;19;378;0;101;0;0;72;5;6;4;6;7;0;0;0;0;0;0;3;11;0;106
2286;1970;Graduation;Married;50785.0;0;2;10-09-13;27;64;1;21;0;1;27;2;2;1;3;6;0;0;0;0;0;0;3;11;0;107
1592;1990;Basic;Together;90765.0;2;1;24-01-14;25;547;99;812;151;82;33;0;4;6;5;1;0;0;1;1;0;0;3;11;0;108
367;1990;Master;Widow;36550.0;0;1;19-02-13;74;47;90;94;123;103;120;5;9;1;5;9;0;0;0;0;0;0;3;11;0;109
5234;1970;PhD;Together;30753.0;2;0;11-07-13;85;12;5;25;0;9;30;2;1;1;3;5;0;0;0;0;0;0;3;11;0;110
9862;1970;Basic;Widow;21918.0;1;2;14-11-13;37;1;6;7;11;5;3;2;2;0;3;6;0;0;0;0;0;0;3;11;0;111
9805;1990;Basic;Single;56129.0;2;2;20-06-13;65;320;48;133;39;72;48;4;6;2;10;4;0;0;0;0;0;0;3;11;0;112
6205;1950;2nCycle;Married;32557.0;2;2;24-02-14;13;34;3;29;0;4;10;3;2;1;3;5;0;0;0;0;0;0;3;11;1;113
8442;1980;Master;Single;19510.0;1;1;04-09-13;63;9;0;7;3;4;7;2;1;0;3;7;0;0;0;0;0;0;3;11;0;114
7386;1940;Graduation;Married;30992.0;0;0;22-04-13;83;17;0;14;7;3;2;1;1;0;3;7;0;0;0;0;0;0;3;11;0;115
7215;1990;2nCycle;Single;101970.0;2;2;12-03-13;69;722;27;102;44;72;168;0;6;8;13;2;0;1;1;1;0;0;3;11;1;116
1491;1990;Graduation;Widow;71488.0;1;2;18-02-13;87;162;33;124;40;28;172;2;3;4;7;1;0;0;0;0;0;0;3;11;0;117
11071;1980;Graduation;Divorced;79607.0;1;1;21-04-13;37;450;133;951;173;0;216;1;3;6;6;1;0;0;0;0;0;0;3;11;1;118
3381;1940;Master;Single;54348.0;0;0;08-06-14;51;70;0;16;0;0;4;2;2;0;4;6;0;0;0;0;0;0;3;11;0;119
11051;1950;PhD;Single;77376.0;2;2;10-05-14;72;492;19;110;16;12;12;4;6;3;10;4;0;0;0;0;0;0;3;11;0;120
8026;1980;PhD;Single;62998.0;1;0;30-09-13;10;120;58;73;65;89;58;5;5;4;5;5;0;0;0;0;0;0;3;11;0;121
433;1960;Graduation;Widow;61331.0;0;0;10-03-13;42;534;5;47;0;5;41;5;11;1;6;8;0;0;0;0;0;0;3;11;0;122
9597;1940;PhD;Divorced;73448.0;2;2;10-02-14;10;236;106;189;23;41;130;1;7;2;9;4;0;0;0;0;0;0;3;11;0;123
5290;1990;Master;Married;41551.0;1;1;14-08-13;51;220;0;33;3;0;23;5;5;1;5;8;0;0;0;0;0;0;3;11;0;124
1685;1970;2nCycle;Divorced;62981.0;0;0;17-03-13;21;796;14;590;38;44;0;1;4;5;13;3;0;1;0;0;0;0;3;11;0;125
5342;1960;2nCycle;Together;9548.0;1;2;08-08-12;31;0;1;3;10;6;9;2;1;0;3;8;0;0;0;0;0;0;3;11;0;126
9579;1970;Graduation;Widow;33762.0;0;1;07-07-13;61;53;1;34;2;0;16;3;2;2;2;8;0;0;0;0;0;0;3;11;0;127
7660;1940;Basic;Widow;35860.0;0;0;19-05-14;37;15;0;8;4;2;20;2;1;1;2;5;1;0;0;0;0;0;3;11;1;128
1461;1950;Master;Widow;36921.0;1;2;28-07-13;74;17;1;12;3;1;4;2;2;0;3;7;0;0;0;0;0;0;3;11;0;129
821;1990;Master;Widow;92859.0;2;0;19-10-12;46;962;61;921;52;61;20;1;5;4;12;2;0;0;0;0;0;0;3;11;0;130
11084;1950;PhD;Single;65104.0;2;2;14-11-13;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;0;3;11;1;131
8690;1940;Graduation;Together;86111.0;1;2;19-04-13;73;399;28;756;36;40;126;1;5;7;10;2;0;0;0;0;0;0;3;11;0;132
2937;1950;Master;Divorced;68352.0;1;1;28-08-13;47;614;16;132;43;33;33;3;8;5;9;6;0;0;0;0;0;0;3;11;0;133
9701;1970;Basic;Divorced;41883.0;1;0;19-03-13;13;32;34;41;73;16;116;3;4;2;3;7;0;0;0;0;0;0;3;11;0;134
9949;1970;Graduation;Married;59809.0;2;0;18-10-12;36;598;16;141;32;41;49;3;3;3;6;8;0;0;0;0;0;0;3;11;0;135
10837;1940;Basic;Married;23957.0;2;0;28-10-12;47;2;1;18;20;11;16;1;2;0;3;6;0;0;0;0;0;0;3;11;1;136
3120;1980;Basic;Widow;38547.0;2;2;28-08-13;49;6;1;10;0;1;4;1;1;0;2;8;0;0;0;0;0;1;3;11;0;137
5885;1940;PhD;Married;35688.0;2;1;22-08-12;94;73;3;90;12;1;32;7;4;1;4;8;0;0;0;0;0;0;3;11;0;138
4050;1970;2nCycle;Widow;49605.0;2;1;21-06-14;65;42;16;29;12;20;8;1;2;1;4;3;0;0;0;0;0;0;3;11;0;139
3830;1990;Master;Divorced;59354.0;1;1;24-04-14;59;295;21;78;39;13;13;1;4;4;7;3;0;0;0;0;0;0;3;11;0;140
7987;1940;2nCycle;Married;65747.0;2;1;07-03-14;96;346;17;48;23;13;13;4;8;1;6;6;0;1;0;0;0;0;3;11;0;141
7798;1970;Master;Together;46344.0;2;1;14-12-12;28;233;20;57;8;20;91;4;7;1;5;7;0;0;0;0;0;0;3;11;0;142
92;1950;Basic;Divorced;34176.0;1;2;12-05-14;12;5;7;24;19;14;20;4;3;0;4;6;0;0;0;0;0;0;3;11;0;143
7055;1980;Basic;Single;61010.0;1;2;09-10-12;57;888;0;57;0;0;76;2;8;5;11;5;0;0;0;0;0;0;3;11;0;144
10240;1980;Master;Divorced;69372.0;0;0;19-02-13;10;997;26;269;34;13;42;1;10;4;6;4;0;1;1;0;0;0;3;11;1;145
3025;1970;2nCycle;Together;49967.0;0;2;08-07-13;4;212;6;69;4;12;3;3;6;1;5;7;0;0;0;0;0;0;3;11;0;146
9283;1980;Basic;Single;60199.0;1;0;12-09-13;49;8;1;7;2;0;0;1;0;0;3;4;0;0;0;0;0;0;3;11;0;147
9970;1950;2nCycle;Together;55375.0;2;2;17-10-13;3;42;11;57;10;28;14;1;1;1;6;2;0;0;0;0;0;0;3;11;0;148
2730;1960;2nCycle;Married;80317.0;2;2;20-08-13;64;536;11;387;149;91;57;1;3;4;10;1;0;0;0;0;0;0;3;11;0;149
2795;1950;PhD;Widow;30523.0;2;2;01-07-13;0;5;0;3;0;0;5;1;1;0;2;7;0;0;0;0;0;0;3;11;0;150
9260;1940;PhD;Married;70356.0;2;0;05-11-12;20;1349;16;249;43;16;33;2;10;6;9;6;0;0;0;0;0;0;3;11;0;151
8182;1950;PhD;Single;23228.0;0;0;05-01-14;91;53;3;49;7;4;5;4;3;0;4;8;0;0;0;0;0;0;3;11;0;152
10095;1940;PhD;Divorced;74165.0;0;2;01-05-13;9;1001;12;240;16;12;12;1;5;4;10;2;0;0;0;0;0;0;3;11;0;153
8475;1950;PhD;Single;157243.0;1;1;01-03-14;98;20;2;1582;1;2;1;15;0;22;0;0;0;0;0;0;0;0;3;11;0;154
4370;1970;PhD;Single;43482.0;2;2;13-11-13;83;18;1;32;6;3;28;3;2;0;4;6;0;0;0;0;0;0;3;11;0;155
10573;1960;Basic;Single;62551.0;0;1;18-11-13;27;125;16;98;134;21;27;1;6;7;4;3;1;0;0;0;0;0;3;11;0;156
3712;1980;Graduation;Single;52332.0;2;0;28-08-13;63;212;5;33;7;0;2;1;3;2;6;4;0;1;0;0;0;0;3;11;0;157
6637;1940;Master;Single;66951.0;2;1;02-11-13;46;277;162;305;173;76;124;1;3;4;7;1;0;0;0;0;0;0;3;11;0;158
3152;1960;Master;Married;26091.0;0;2;25-02-14;84;15;10;19;8;17;20;3;2;1;3;5;0;0;0;0;0;0;3;11;0;159
5610;1940;Master;Widow;33456.0;1;1;21-04-14;58;7;3;10;8;1;7;2;1;0;3;7;0;0;0;0;0;0;3;11;0;160
6460;1960;Basic;Divorced;28718.0;0;2;13-07-13;78;12;4;6;11;8;16;2;2;0;3;8;0;0;0;0;0;0;3;11;0;161
1349;1950;Graduation;Widow;50447.0;1;1;21-04-14;4;85;7;24;2;3;27;1;3;1;3;6;0;0;0;0;0;0;3;11;0;162
1880;1980;Basic;Widow;53537.0;1;2;30-01-14;17;81;0;6;0;0;6;2;2;1;3;5;0;0;0;0;0;0;3;11;0;163
641;1940;Graduation;Divorced;52074.0;0;2;04-04-14;77;59;0;12;0;0;48;1;2;2;2;4;1;0;0;0;0;0;3;11;0;164
8717;1950;PhD;Married;80427.0;1;1;12-09-12;56;1149;71;449;69;71;26;1;11;8;8;5;0;0;0;0;0;0;3;11;0;165
10314;1960;Basic;Together;83837.0;2;2;16-12-12;79;847;66;119;86;89;111;1;9;10;5;4;0;1;0;1;0;0;3;11;1;166
10854;1990;PhD;Widow;38853.0;0;0;23-05-14;90;29;0;14;0;0;2;2;2;0;3;7;0;0;0;0;0;0;3;11;0;167
10492;1970;Basic;Divorced;38285.0;0;1;24-06-14;96;2;0;5;2;0;1;1;0;0;3;2;0;0;0;0;0;0;3;11;0;168
6935;1940;Master;Widow;78497.0;2;0;01-12-13;44;207;26;447;75;0;223;1;5;7;12;2;0;0;0;1;0;0;3;11;0;169
7698;1980;Graduation;Together;51650.0;1;1;11-05-14;81;152;3;22;2;5;7;1;4;1;4;5;0;0;0;0;0;0;3;11;0;170
3559;1980;Master;Divorced;16248.0;2;1;10-05-14;77;12;11;10;3;12;9;3;2;1;3;6;0;0;0;0;0;0;3;11;0;171
10562;1950;2nCycle;Married;66835.0;2;1;28-09-13;21;620;26;195;34;17;141;1;6;4;13;2;0;0;0;0;0;0;3;11;0;172
10796;1990;PhD;Divorced;30477.0;0;1;22-01-14;16;47;1;6;0;0;12;1;1;1;3;6;0;0;0;0;0;0;3;11;0;173
2563;1990;PhD;Single;28249.0;1;0;15-06-14;80;1;9;7;2;14;10;1;2;0;3;6;0;0;0;0;0;0;3;11;0;174
3518;1950;PhD;Widow;25271.0;0;2;05-12-12;45;10;1;18;10;4;7;1;1;1;2;9;0;0;0;0;0;0;3;11;0;175
5823;1960;PhD;Together;32303.0;0;2;08-03-14;63;35;0;2;0;0;2;2;1;0;4;5;0;0;0;0;0;0;3;11;0;176
3934;1980;Basic;Together;61286.0;2;0;02-08-13;34;356;0;107;19;9;117;2;7;1;8;5;0;0;0;0;0;0;3;11;0;177
6982;1990;PhD;Married;74068.0;1;0;19-03-13;14;783;30;537;140;76;15;1;4;10;9;2;0;0;0;0;0;0;3;11;0;178
6431;1980;2nCycle;Single;45759.0;1;2;23-02-13;13;42;1;18;3;0;4;2;2;0;3;7;0;0;0;0;0;0;3;11;0;179
9733;1980;Graduation;Widow;24882.0;2;1;09-09-12;52;1;4;10;29;0;36;1;1;1;2;6;1;0;0;0;0;0;3;11;0;180
5602;1940;2nCycle;Married;66973.0;2;0;17-05-13;98;466;22;432;147;113;102;1;8;7;12;3;0;0;0;0;0;0;3;11;0;181
7829;1980;Master;Married;36640.0;1;2;26-09-13;99;15;6;8;7;4;25;1;2;1;2;5;0;0;0;0;0;1;3;11;0;182
1324;1970;Basic;Widow;38872.0;1;0;30-05-13;93;23;3;21;3;19;22;2;3;0;3;8;0;0;0;0;0;0;3;11;0;183
326;1990;PhD;Together;51148.0;0;2;18-02-13;38;235;6;45;8;9;12;4;5;1;6;6;0;0;0;0;0;0;3;11;0;184
7224;1960;Basic;Married;31353.0;2;2;29-12-13;24;10;0;10;3;1;7;2;1;1;2;8;0;0;0;0;0;0;3;11;0;185
